日期,代码,名称,最新价,涨跌幅%,涨跌额,成交量,成交额,市值,最高,最低,今开,昨收,市盈率(动),市盈率(TTM),市盈率(静),市净率,股息率%,PEG,ROE%,净利增长%,资产负债率%
2026-03-06,301150,中一科技,49.63,14.70,6.36,226506,1075743908,12799852669,50.35,43.00,43.00,43.27,248.08,-152.02,557.17,3.6,12.48,5,38696713.67,156.514655424786,5.5308734785
2026-03-09,301150,中一科技,48.25,-2.78,-1.38,132084,625644162,12799852669,48.60,45.97,47.90,49.63,248.08,-152.02,557.17,3.6,12.48,5,38696713.67,156.514655424786,5.5308734785
2026-03-10,301150,中一科技,48.00,-0.52,-0.25,116856,563386318,12799852669,49.21,47.60,48.40,48.25,248.08,-152.02,557.17,3.6,12.48,5,38696713.67,156.514655424786,5.5308734785
2026-03-11,301150,中一科技,54.88,14.33,6.88,351024,1896834996.08,12799852669,57.60,48.96,48.96,48.00,248.08,-152.02,557.17,3.6,12.48,5,38696713.67,156.514655424786,5.5308734785
2026-03-05,688295,中复神鹰,30.30,0.17,0.05,38134,116094021,32436000000,30.92,29.91,30.70,30.25,335.57,-260.77,335.57,6.86,8.26,32,96658200,177.7095969444,17.8211533733
2026-03-06,688295,中复神鹰,30.34,0.13,0.04,38266,116788702,32436000000,30.95,30.12,30.25,30.30,335.57,-260.77,335.57,6.86,8.26,32,96658200,177.7095969444,17.8211533733
2026-03-09,688295,中复神鹰,30.04,-0.99,-0.30,48261,142708868,32436000000,30.24,29.09,30.00,30.34,335.57,-260.77,335.57,6.86,8.26,32,96658200,177.7095969444,17.8211533733
2026-03-10,688295,中复神鹰,31.57,5.09,1.53,52218,162280959,32436000000,31.58,30.16,30.16,30.04,335.57,-260.77,335.57,6.86,8.26,32,96658200,177.7095969444,17.8211533733
2026-03-11,688295,中复神鹰,36.04,14.16,4.47,251441,876986069,32436000000,37.50,31.72,33.00,31.57,335.57,-260.77,335.57,6.86,8.26,32,96658200,177.7095969444,17.8211533733
2026-03-05,301040,中环海陆,38.06,2.37,0.88,53585,201171446,4325044591,38.36,36.57,37.59,37.18,-49.06,-28.16,-28.36,5.92,1.31,5,-66123804.72,1.645195259571,0.8490468289
2026-03-06,301040,中环海陆,38.34,0.74,0.28,46810,179358683,4325044591,39.38,37.60,37.96,38.06,-49.06,-28.16,-28.36,5.92,1.31,5,-66123804.72,1.645195259571,0.8490468289
2026-03-09,301040,中环海陆,37.25,-2.84,-1.09,79232,292406367,4325044591,38.62,35.79,37.71,38.34,-49.06,-28.16,-28.36,5.92,1.31,5,-66123804.72,1.645195259571,0.8490468289
2026-03-10,301040,中环海陆,38.02,2.07,0.77,58667,220775817,4325044591,38.13,36.90,37.47,37.25,-49.06,-28.16,-28.36,5.92,1.31,5,-66123804.72,1.645195259571,0.8490468289
2026-03-11,301040,中环海陆,43.25,13.76,5.23,130708,529726045.32,4325044591,43.39,37.55,37.90,38.02,-49.06,-28.16,-28.36,5.92,1.31,5,-66123804.72,1.645195259571,0.8490468289
2026-03-05,688411,海博思创,223.85,0.78,1.74,31214,702651243,48432273874,230.25,220.26,225.03,222.11,51.03,74.76,51.03,10.13,8.25,32,949036000,46.4927732451,18.0123092737
2026-03-06,688411,海博思创,229.40,2.48,5.55,42647,960500987,48432273874,230.41,217.85,222.00,223.85,51.03,74.76,51.03,10.13,8.25,32,949036000,46.4927732451,18.0123092737
2026-03-09,688411,海博思创,237.38,3.48,7.98,62025,1443951093,48432273874,242.00,219.00,223.50,229.40,51.03,74.76,51.03,10.13,8.25,32,949036000,46.4927732451,18.0123092737
2026-03-10,688411,海博思创,239.40,0.85,2.02,53773,1283766851,48432273874,241.88,234.02,237.38,237.38,51.03,74.76,51.03,10.13,8.25,32,949036000,46.4927732451,18.0123092737
2026-03-11,688411,海博思创,268.93,12.34,29.53,151307,4049250957,48432273874,287.28,239.10,240.00,239.40,51.03,74.76,51.03,10.13,8.25,32,949036000,46.4927732451,18.0123092737
2026-03-05,301291,明阳电气,58.58,0.67,0.39,192394,1141068863,21619850000,60.64,57.86,59.04,58.19,34.68,32.63,31.14,4.4,2.98,5,467525181.26,7.311568651871,21.9907971446
2026-03-06,301291,明阳电气,59.98,2.39,1.40,233206,1411060750,21619850000,62.76,58.28,59.16,58.58,34.68,32.63,31.14,4.4,2.98,5,467525181.26,7.311568651871,21.9907971446
2026-03-09,301291,明阳电气,62.80,4.70,2.82,271764,1676921540,21619850000,63.50,59.98,60.41,59.98,34.68,32.63,31.14,4.4,2.98,5,467525181.26,7.311568651871,21.9907971446
2026-03-10,301291,明阳电气,61.83,-1.54,-0.97,237217,1456766760,21619850000,64.16,59.91,62.30,62.80,34.68,32.63,31.14,4.4,2.98,5,467525181.26,7.311568651871,21.9907971446
2026-03-11,301291,明阳电气,69.25,12.00,7.42,310682,2029420610.49,21619850000,71.35,59.66,60.89,61.83,34.68,32.63,31.14,4.4,2.98,5,467525181.26,7.311568651871,21.9907971446
